Date,Time,Latitude,Longitude,Crime_Type,Severity
2021-06-13,02:29:00,31.31671307966384,75.57945896326103,Assault,Low
2023-04-15,16:01:00,31.30353924823975,75.58966794145884,Burglary,Medium
2021-07-12,13:16:00,31.314041635928227,75.58775448384716,Vandalism,Low
2023-01-29,02:47:00,31.299143212592504,75.59558334037227,Cybercrime,Low
2023-04-08,19:38:00,31.341342755870237,75.58684434905915,Assault,Low
2022-07-14,14:59:00,31.329313941495002,75.57861252444424,Burglary,Low
2021-03-25,14:25:00,31.32149505369944,75.57993707980633,Burglary,Low
2023-04-24,00:03:00,31.322012589126334,75.59153716032789,Cybercrime,High
2021-01-28,09:11:00,31.31282968675877,75.58604462037007,Burglary,Low
2023-10-20,09:29:00,31.302388612870615,75.58672032133855,Assault,High
2022-07-17,18:39:00,31.31036032075181,75.58497573090767,Cybercrime,High
2023-10-10,14:26:00,31.31858513463692,75.64746631712777,Assault,Medium
2022-05-07,16:32:00,31.334658130090823,75.57660788429413,Cybercrime,Medium
2021-02-13,20:34:00,31.32940964581003,75.5823742002114,Assault,Medium
2022-03-13,13:05:00,31.286654437190133,75.50425286809144,Theft,Low
2021-07-28,00:04:00,31.278811232582832,75.51308908499324,Vandalism,Medium
2023-11-04,11:19:00,31.310975644379564,75.58761118887415,Vandalism,High
2021-12-12,16:40:00,31.330150675900374,75.60470942903882,Theft,Low
2021-11-08,00:41:00,31.295610626317615,75.62367391753914,Vandalism,Medium
2022-06-15,03:44:00,31.332111691779215,75.57508579334471,Assault,Medium
2022-04-23,21:22:00,31.32273488193878,75.51063583378497,Vandalism,Medium
2021-06-19,21:59:00,31.350579703413334,75.63632737571686,Theft,High
2021-03-14,01:13:00,31.332311441393664,75.60060552376815,Vandalism,High
2022-01-27,11:07:00,31.336514563494067,75.58574345178654,Burglary,Medium
2022-09-23,04:20:00,31.31220111915505,75.5690467260338,Theft,Low
2021-10-08,08:40:00,31.34994534262362,75.63408136120884,Cybercrime,High
2021-06-06,01:09:00,31.344473908050546,75.58759600916322,Assault,Low
2021-10-05,17:51:00,31.265950671855393,75.60554880302631,Cybercrime,Low
2021-11-26,11:34:00,31.361509015767382,75.56892225562133,Assault,Medium
2022-07-05,15:11:00,31.299769258305417,75.5609098793301,Theft,Medium
2023-03-24,20:35:00,31.340229643981203,75.57203316942187,Cybercrime,Medium
2022-02-05,17:29:00,31.327263171397583,75.59029380629669,Vandalism,Low
2022-05-11,12:07:00,31.33862466994643,75.5824344516126,Cybercrime,Medium
2021-05-08,13:38:00,31.28228687945274,75.55473495083629,Burglary,High
2022-01-07,12:50:00,31.384647644370606,75.64807347144522,Cybercrime,High
2023-09-18,05:47:00,31.356981321248874,75.5925064894074,Burglary,High
2022-04-17,03:19:00,31.311619008282953,75.5775190861706,Cybercrime,High
2021-07-22,05:35:00,31.316493725105914,75.58377535171904,Burglary,Medium
2021-03-10,03:50:00,31.30976168273623,75.59280671503615,Assault,Medium
2021-09-20,09:16:00,31.31227305221544,75.51593226426752,Cybercrime,High
2021-05-18,02:34:00,31.26978875856664,75.58247553914607,Vandalism,Low
2023-08-05,17:14:00,31.282638407085035,75.60412456391238,Cybercrime,High
2023-05-13,22:00:00,31.343215271315525,75.55844100616301,Theft,Low
2022-04-01,19:54:00,31.319415529290158,75.58936367825771,Burglary,Medium
2023-04-27,09:58:00,31.324574985990278,75.55126646723271,Theft,High
2021-06-03,18:27:00,31.307857710579544,75.5698647101531,Theft,Low
2022-03-19,09:17:00,31.319839672987136,75.53133152212567,Cybercrime,High
2023-03-14,10:52:00,31.326028119796835,75.51343699247991,Theft,Medium
2022-01-04,16:27:00,31.327447718210458,75.5860423164513,Burglary,High
2022-01-01,10:05:00,31.3350220025163,75.58260869789505,Theft,Medium
2021-05-01,16:11:00,31.340730683949978,75.58977383647708,Vandalism,Medium
2022-11-11,12:12:00,31.32418260221396,75.58924071126562,Theft,High
2022-07-03,16:22:00,31.3095591156971,75.6033161323433,Cybercrime,High
2022-05-13,19:43:00,31.35973885759297,75.63798027737228,Assault,Medium
2021-01-28,09:42:00,31.330888507055565,75.58549304762919,Assault,Medium
2023-12-28,22:04:00,31.31417994063853,75.5821254723204,Burglary,Low
2023-11-19,20:33:00,31.33672330683043,75.57359635127713,Cybercrime,High
2022-10-17,23:54:00,31.315330367564304,75.5699482972248,Burglary,Low
2021-02-19,07:31:00,31.33289718474441,75.5673746770436,Burglary,Low
